basis_key,work_type_code,work_type_name_ru,family_code,label_ru,hint_ru,uom_code,required,sort_order,status
area_ceiling_m2,com_fitout,Коммерческая отделка,finish,"Площадь потолка, м²","Площадь потолка (по полу), м². Можно вводить формулой: 3*4 + 2*5.",м²,true,1,OK
area_m2,com_fitout,Коммерческая отделка,finish,"Площадь металлоконструкций, м²",Площадь поверхности металлоконструкций (для окраски/грунта/обшивки — как заложено в нормах).,м²,true,2,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW
area_m2,finish_paint,Отделка / Покраска,finish,"Площадь металлоконструкций, м²",Площадь поверхности металлоконструкций (для окраски/грунта/обшивки — как заложено в нормах).,м²,true,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW
area_m2,ind_concrete,Бетонные работы,concrete,"Площадь бетонирования, м²","Площадь поверхности, где выполняются бетонные работы (плита/пол/участок). Можно вводить числом или формулой.",м²,true,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW
area_m2,ind_floor_epoxy,Наливные/эпоксидные полы,floor,"Площадь металлоконструкций, м²",Площадь поверхности металлоконструкций (для окраски/грунта/обшивки — как заложено в нормах).,м²,true,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW
area_m2,ind_steel,Металлоконструкции,metal,"Площадь металлоконструкций, м²",Площадь поверхности металлоконструкций (для окраски/грунта/обшивки — как заложено в нормах).,м²,true,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW
area_m2,res_finish_paint,Покраска/отделка,finish,"Площадь металлоконструкций, м²",Площадь поверхности металлоконструкций (для окраски/грунта/обшивки — как заложено в нормах).,м²,true,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW
area_m2,WT-BATH,Санузел / Ванная (комплект),plumb,"Площадь металлоконструкций, м²",Площадь поверхности металлоконструкций (для окраски/грунта/обшивки — как заложено в нормах).,м²,true,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW
area_m2,WT-BLOCK,Кладка блоков,masonry,"Площадь металлоконструкций, м²",Площадь поверхности металлоконструкций (для окраски/грунта/обшивки — как заложено в нормах).,м²,true,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW
area_m2,WT-CEIL-ARMSTRONG-600,Потолок Армстронг 600×600,ceil,"Площадь металлоконструкций, м²",Площадь поверхности металлоконструкций (для окраски/грунта/обшивки — как заложено в нормах).,м²,true,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW
