work_type_code,work_type_name_ru,family_code,basis_key,label_ru,hint_ru,uom_code,required,derived_flag,formula,sort_order,status,notes,field_kind,expression,read_only_flag,manual_flag,source_config_id,ui_source,default_value,used_in_norms
WT-DEMO,Демонтаж (общий),demo,area_m2,"Площадь демонтажа, м²",Площадь демонтажа в м². Можно вводить числом или формулой.,м²,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-DEM-GKL,Демонтаж ГКЛ,demo,area_m2,"Площадь демонтажа ГКЛ, м²",Площадь обшивки/перегородок ГКЛ под демонтаж (м²).,м²,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-DEM-DOOR,Демонтаж дверей,demo,count,"Количество дверей, шт",Сколько дверей демонтируем.,шт,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-DEM-ROOF,Демонтаж кровли,demo,area_m2,"Площадь демонтажа кровли, м²",Площадь покрытия кровли под демонтаж (м²). Можно по скатам формулой.,м²,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-DEM-FLOOR,Демонтаж напольных покрытий,demo,area_m2,"Площадь демонтажа пола, м²",Площадь пола под демонтаж (м²). Формула допустима.,м²,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-DEM-WALL,Демонтаж обоев/стен,demo,area_m2,"Площадь демонтажа стен, м²","Площадь стен, которые демонтируем (м²). Формула допустима.",м²,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-DEM-WINDOW,Демонтаж окон,demo,count,"Количество окон, шт",Сколько окон демонтируем.,шт,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-DEM-TILE-FLOOR,Демонтаж плитки (пол),demo,area_m2,"Площадь демонтажа плитки (пол), м²",Площадь плитки на полу под демонтаж (м²).,м²,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-DEM-TILE-WALL,Демонтаж плитки (стены),demo,area_m2,"Площадь демонтажа плитки (стены), м²",Площадь плитки на стенах под демонтаж (м²).,м²,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-DEM-CEIL,Демонтаж потолка,demo,area_m2,"Площадь демонтажа потолка, м²",Площадь потолка под демонтаж (м²). Формула допустима.,м²,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-DEM-RADIATOR,Демонтаж радиаторов,demo,count,"Количество радиаторов, шт",Сколько радиаторов демонтируем.,шт,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-DEM-OUTLET,Демонтаж розеток/выключателей,demo,count,"Количество розеток, шт",Сколько розеток демонтируем.,шт,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-DEM-PLUMB-FIX,Демонтаж сантехприборов,demo,count,"Количество сантехточек, шт",Сколько точек/приборов демонтируем (унитаз/раковина/смеситель и т.п.).,шт,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-DEM-LIGHT,Демонтаж светильников,demo,count,"Количество светильников/точек, шт",Сколько светильников/точек снимаем.,шт,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-DEM-SCREED,Демонтаж стяжки,demo,area_m2,"Площадь демонтажа стяжки, м²",Площадь стяжки под демонтаж (м²).,м²,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-DEM-INSUL,Демонтаж утеплителя,demo,area_m2,"Площадь демонтажа утеплителя, м²",Площадь утепления под демонтаж (м²).,м²,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-DEM-PLASTER,Демонтаж штукатурки,demo,area_m2,"Площадь демонтажа штукатурки, м²",Площадь штукатурки под демонтаж (м²).,м²,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui_clean,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONCRETE-PILE,Бетон: сваи/столбы (армирование),concrete,count,Количество,Просто счёт в штуках: сколько элементов/мест/узлов нужно. Можно вводить формулой: 3+5+2.,шт,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONCRETE-PILE,Бетон: сваи/столбы (армирование),concrete,volume_m3,"Объём бетона, м³ (авто)",Объём бетона в м³. Обычно: длина×ширина×высота или по участкам: 0.3×12×0.2 + 0.4×5×0.3.,м³,true,false,,2,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
WT-CONCRETE-MONO,Бетонирование / монолит,concrete,area_m2,"Площадь бетонирования, м²","Площадь поверхности, где выполняются бетонные работы (плита/пол/участок). Можно вводить числом или формулой.",м²,true,false,,1,DUPLICATE_PATTERN|LABEL_MISMATCH|NEEDS_REVIEW,v_reno_calc_fields_ui,number,,false,true,,src/components/foreman/useCalcFields.ts,,true
